Rosetta 3,,,,,,,,,,,,,,,,,,,,,,,
Sand_%,Silt_%,Clay_%,bulk_density_(g/cm3),th33,th1500,Code,theta_r,theta_s,log10_alpha_(1/cm),log10_n,log10_Ksat_(cm/d),K sat (cm/d),ksat (cm/s),,,,,,,,,,
45.22,41.4,13.38,1.62,-9.9,-9.9,3,0.068960735,0.345687615,-2.006710735,0.143959668,1.036548194,10.87797845,0.000125903,,,,,,,,,,
73.51,26.49,0,1.62,-9.9,-9.9,3,0.046649165,0.333829668,-1.646434388,0.219465383,1.863495747,73.02906612,0.000845244,,,,,,,,,,
76.06,23.94,0,1.62,-9.9,-9.9,3,0.046500947,0.334788046,-1.620022152,0.233287177,1.936307294,86.35893821,0.000999525,,,,,,,,,,
66.75,26.83,6.41,1.62,-9.9,-9.9,3,0.056320502,0.341491645,-1.743703192,0.172917695,1.519836213,33.10062644,0.000383109,,,,,,,,,,
94.95,5.05,0,1.62,-9.9,-9.9,3,0.045475702,0.342519101,-1.444582891,0.513839364,2.857795886,720.7686456,0.00834223,,,,,,,,,,
87.48,12.52,0,1.62,-9.9,-9.9,3,0.045835785,0.3394922,-1.508517133,0.356797723,2.423700132,265.2773265,0.003070339,,,,,,,,,,
72.95,27.05,0,1.62,-9.9,-9.9,3,0.046680569,0.333630791,-1.652321855,0.216851868,1.848966385,70.62628864,0.000817434,,,,,,,,,,
40.13,48.89,10.99,1.62,-9.9,-9.9,3,0.064801492,0.343045065,-2.071452876,0.153308683,1.082970028,12.10514589,0.000140106,,,,,,,,,,
82.87,17.13,0,1.62,-9.9,-9.9,3,0.046086931,0.337603307,-1.552265381,0.291388281,2.192886015,155.9143236,0.001804564,,,,,,,,,,
56.94,30.68,12.38,1.62,-9.9,-9.9,3,0.066784564,0.347490631,-1.864122601,0.145337004,1.199630191,15.83544204,0.000183281,,,,,,,,,,
49.4,38.96,11.64,1.62,-9.9,-9.9,3,0.065586,0.344120437,-1.952076137,0.146680025,1.129814682,13.48387389,0.000156063,,,,,,,,,,
51.17,37.67,11.17,1.62,-9.9,-9.9,3,0.064686339,0.343867677,-1.929527055,0.14754872,1.162525811,14.5387079,0.000168272,,,,,,,,,,
66.16,33.84,0,1.62,-9.9,-9.9,3,0.047027516,0.331626452,-1.726560944,0.194361163,1.708151004,51.06825332,0.000591068,,,,,,,,,,
81.55,18.45,0,1.62,-9.9,-9.9,3,0.046165814,0.337047581,-1.565112753,0.27706947,2.135362594,136.5722908,0.001580698,,,,,,,,,,
47.39,40.97,11.64,1.62,-9.9,-9.9,3,0.065651369,0.343713789,-1.977930131,0.147334511,1.109975978,12.88178297,0.000149095,,,,,,,,,,
52.38,39.46,8.16,1.62,-9.9,-9.9,3,0.059460615,0.339954574,-1.910780785,0.155394512,1.268653617,18.56323305,0.000214852,,,,,,,,,,
67.59,32.41,0,1.62,-9.9,-9.9,3,0.046959253,0.331981279,-1.71045586,0.19789574,1.732933481,54.06715043,0.000625777,,,,,,,,,,
39.73,55.31,4.95,1.62,-9.9,-9.9,3,0.055126587,0.337665842,-2.072253181,0.171101204,1.311954293,20.50946317,0.000237378,,,,,,,,,,
69.44,30.56,0,1.62,-9.9,-9.9,3,0.046867392,0.332495406,-1.690007464,0.20333185,1.768602257,58.69515543,0.000679342,,,,,,,,,,
33.47,60.71,5.82,1.62,-9.9,-9.9,3,0.056973846,0.342160746,-2.145280814,0.173930101,1.277428658,18.94212325,0.000219238,,,,,,,,,,
71.02,28.98,0,1.62,-9.9,-9.9,3,0.046785416,0.332981703,-1.672870791,0.208848908,1.802591592,63.47337512,0.000734646,,,,,,,,,,
86.68,13.32,0,1.62,-9.9,-9.9,3,0.045876407,0.33917117,-1.51595845,0.343600017,2.380600299,240.2150973,0.002780267,,,,,,,,,,
79.97,20.03,0,1.62,-9.9,-9.9,3,0.046262393,0.336382272,-1.58066484,0.262089461,2.071621999,117.9293756,0.001364923,,,,,,,,,,
38.1,61.9,0,1.62,-9.9,-9.9,3,0.04893938,0.335423301,-2.082729807,0.189465962,1.52011874,33.12216681,0.000383358,,,,,,,,,,
74.19,25.81,0,1.62,-9.9,-9.9,3,0.046610453,0.33407709,-1.639328662,0.22283188,1.881823775,76.17698416,0.000881678,,,,,,,,,,
78.78,21.22,0,1.62,-9.9,-9.9,3,0.04633566,0.335886062,-1.592507523,0.252182132,2.027169639,106.4558762,0.001232128,,,,,,,,,,
70.71,29.29,0,1.62,-9.9,-9.9,3,0.046801769,0.332882981,-1.676210117,0.207697502,1.795651783,62.46716307,0.000723,,,,,,,,,,
79.23,20.77,0,1.62,-9.9,-9.9,3,0.046307957,0.336072927,-1.588015806,0.255799372,2.043629072,110.5679028,0.001279721,,,,,,,,,,
83.28,16.72,0,1.62,-9.9,-9.9,3,0.046062937,0.337775097,-1.548301583,0.296202119,2.2115566,162.7633425,0.001883835,,,,,,,,,,
96.19,3.81,0,1.62,-9.9,-9.9,3,0.045419741,0.34304574,-1.43486375,0.545264587,2.932659355,856.3658791,0.009911642,,,,,,,,,,
